ADB evt=GlobalReset t_us=177750004
ADB evt=Talk raw=1F addr=1 reg=3 srq=0 data=- t_us=177756771
ADB evt=Talk raw=4F addr=4 reg=3 srq=0 data=- t_us=177768741
ADB evt=Talk raw=7F addr=7 reg=3 srq=0 data=- t_us=177778978
ADB evt=Talk raw=AF addr=A reg=3 srq=0 data=- t_us=177789210
ADB evt=Talk raw=DF addr=D reg=3 srq=0 data=- t_us=177799449
ADB evt=Listen raw=3B addr=3 reg=3 srq=0 data=2:0FFE t_us=177810282
ADB evt=Listen raw=FB addr=F reg=3 srq=0 data=2:0EFE t_us=177820172
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177832446
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=177840579
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177848715
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=177856858
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177864998
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=177873132
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177881268
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=177889410
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177897550
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=177905684
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177913820
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=177921962
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177930102
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=177938236
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177946372
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=177954514
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177962654
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=177970788
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177978924
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=177987066
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=177995206
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=178003340
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178011476
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=178019618
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178027759
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=178035892
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178044028
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=178052171
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178060311
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=178068444
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178076580
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=178084723
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178092863
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=178100996
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178109133
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=178117275
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178125415
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=178133549
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178141685
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=178149827
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178157967
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=178166101
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178174237
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=178182379
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178190519
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=178198653
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178206789
ADB evt=Talk raw=FF addr=F reg=3 srq=0 data=- t_us=178214931
ADB evt=Talk raw=EF addr=E reg=3 srq=0 data=- t_us=178223072
ADB evt=Talk raw=3F addr=3 reg=3 srq=0 data=- t_us=178231205
